"Element","h_index","g_index","m_index","TC","NP","PY_start"
"HILBE C","15","18","1.071","869","18","2009"
"RAND DG","15","17","1.071","1142","17","2009"
"TERADA K","3","3","1.000","22","3","2020"
"UEDA M","2","2","1.000","10","2","2021"
"AL-GHARAIBEH RS","1","1","1.000","4","1","2022"
"ALI MZ","1","1","1.000","4","1","2022"
"AYAD R","1","1","1.000","1","1","2022"
"CHAKRABORTY S","1","1","1.000","1","1","2022"
"DE DREU CKW","1","1","1.000","1","1","2022"
"DENG WN","1","1","1.000","1","1","2022"
